"Index","MSFT.Adjusted"
"2023-02-09","2023-02-09",261.303039550781
"2023-02-10","2023-02-10",260.787628173828
"2023-02-13","2023-02-13",268.935363769531
"2023-02-14","2023-02-14",269.777923583984
"2023-02-15","2023-02-15",267.621612548828
"2023-02-16","2023-02-16",260.496795654297
"2023-02-17","2023-02-17",256.4326171875
"2023-02-21","2023-02-21",251.076583862305
"2023-02-22","2023-02-22",249.923889160156
"2023-02-23","2023-02-23",253.163345336914
"2023-02-24","2023-02-24",247.648361206055
"2023-02-27","2023-02-27",248.582427978516
"2023-02-28","2023-02-28",247.847076416016
"2023-03-01","2023-03-01",244.716949462891
"2023-03-02","2023-03-02",249.526428222656
"2023-03-03","2023-03-03",253.680053710938
"2023-03-06","2023-03-06",255.250106811523
"2023-03-07","2023-03-07",252.547256469727
"2023-03-08","2023-03-08",252.10009765625
"2023-03-09","2023-03-09",250.728805541992
"2023-03-10","2023-03-10",247.022323608398
"2023-03-13","2023-03-13",252.318695068359
"2023-03-14","2023-03-14",259.145416259766
"2023-03-15","2023-03-15",263.766082763672
"2023-03-16","2023-03-16",274.458221435547
"2023-03-17","2023-03-17",277.667816162109
"2023-03-20","2023-03-20",270.513244628906
"2023-03-21","2023-03-21",272.053436279297
"2023-03-22","2023-03-22",270.572845458984
"2023-03-23","2023-03-23",275.908996582031
"2023-03-24","2023-03-24",278.800659179688
"2023-03-27","2023-03-27",274.637084960938
"2023-03-28","2023-03-28",273.494323730469
"2023-03-29","2023-03-29",278.741027832031
"2023-03-30","2023-03-30",282.258697509766
"2023-03-31","2023-03-31",286.481872558594
"2023-04-03","2023-04-03",285.418670654297
"2023-04-04","2023-04-04",285.368957519531
"2023-04-05","2023-04-05",282.546844482422
"2023-04-06","2023-04-06",289.761108398438
"2023-04-10","2023-04-10",287.565032958984
"2023-04-11","2023-04-11",281.04638671875
"2023-04-12","2023-04-12",281.702239990234
"2023-04-13","2023-04-13",288.012176513672
"2023-04-14","2023-04-14",284.335540771484
"2023-04-17","2023-04-17",286.978729248047
"2023-04-18","2023-04-18",286.551452636719
"2023-04-19","2023-04-19",286.630981445312
"2023-04-20","2023-04-20",284.305694580078
"2023-04-21","2023-04-21",283.957916259766
"2023-04-24","2023-04-24",279.993041992188
"2023-04-25","2023-04-25",273.683135986328
"2023-04-26","2023-04-26",293.507293701172
"2023-04-27","2023-04-27",302.907653808594
"2023-04-28","2023-04-28",305.322326660156
"2023-05-01","2023-05-01",303.633056640625
"2023-05-02","2023-05-02",303.484008789062
"2023-05-03","2023-05-03",302.480346679688
"2023-05-04","2023-05-04",303.484008789062
"2023-05-05","2023-05-05",308.690948486328
"2023-05-08","2023-05-08",306.703552246094
"2023-05-09","2023-05-09",305.063934326172
"2023-05-10","2023-05-10",310.340454101562
"2023-05-11","2023-05-11",308.154327392578
"2023-05-12","2023-05-12",307.021545410156
"2023-05-15","2023-05-15",307.508422851562
"2023-05-16","2023-05-16",309.774078369141
"2023-05-17","2023-05-17",312.701934814453
"2023-05-18","2023-05-18",317.203216552734
"2023-05-19","2023-05-19",317.023986816406
"2023-05-22","2023-05-22",319.852233886719
"2023-05-23","2023-05-23",313.956726074219
"2023-05-24","2023-05-24",312.552551269531
"2023-05-25","2023-05-25",324.572662353516
"2023-05-26","2023-05-26",331.513854980469
"2023-05-30","2023-05-30",329.840789794922
"2023-05-31","2023-05-31",327.032440185547
"2023-06-01","2023-06-01",331.205108642578
"2023-06-02","2023-06-02",334.013427734375
"2023-06-05","2023-06-05",334.551239013672
"2023-06-06","2023-06-06",332.300567626953
"2023-06-07","2023-06-07",322.043151855469
"2023-06-08","2023-06-08",323.915405273438
"2023-06-09","2023-06-09",325.439056396484
"2023-06-12","2023-06-12",330.478118896484
"2023-06-13","2023-06-13",332.908050537109
"2023-06-14","2023-06-14",335.945434570312
"2023-06-15","2023-06-15",346.660980224609
"2023-06-16","2023-06-16",340.914794921875
"2023-06-20","2023-06-20",336.652496337891
"2023-06-21","2023-06-21",332.181060791016
"2023-06-22","2023-06-22",338.305603027344
"2023-06-23","2023-06-23",333.635009765625
"2023-06-26","2023-06-26",327.241577148438
"2023-06-27","2023-06-27",333.186889648438
"2023-06-28","2023-06-28",334.461608886719
"2023-06-29","2023-06-29",333.664886474609
"2023-06-30","2023-06-30",339.132202148438
"2023-07-03","2023-07-03",336.592742919922
"2023-07-05","2023-07-05",336.752075195312
"2023-07-06","2023-07-06",339.859191894531
"2023-07-07","2023-07-07",335.825927734375
"2023-07-10","2023-07-10",330.458190917969
"2023-07-11","2023-07-11",331.095581054688
"2023-07-12","2023-07-12",335.806030273438
"2023-07-13","2023-07-13",341.243469238281
"2023-07-14","2023-07-14",343.812744140625
"2023-07-17","2023-07-17",344.300750732422
"2023-07-18","2023-07-18",358.003875732422
"2023-07-19","2023-07-19",353.612060546875
"2023-07-20","2023-07-20",345.43603515625
"2023-07-21","2023-07-21",342.348846435547
"2023-07-24","2023-07-24",343.683288574219
"2023-07-25","2023-07-25",349.529052734375
"2023-07-26","2023-07-26",336.373626708984
"2023-07-27","2023-07-27",329.352783203125
"2023-07-28","2023-07-28",336.971160888672
"2023-07-31","2023-07-31",334.531311035156
"2023-08-01","2023-08-01",334.949554443359
"2023-08-02","2023-08-02",326.146118164062
"2023-08-03","2023-08-03",325.309600830078
"2023-08-04","2023-08-04",326.424957275391
"2023-08-07","2023-08-07",328.745330810547
"2023-08-08","2023-08-08",324.702087402344
"2023-08-09","2023-08-09",320.897918701172
"2023-08-10","2023-08-10",321.595001220703
"2023-08-11","2023-08-11",319.682952880859
"2023-08-14","2023-08-14",322.700408935547
"2023-08-15","2023-08-15",320.529418945312
"2023-08-16","2023-08-16",319.751007080078
"2023-08-17","2023-08-17",316.238159179688
"2023-08-18","2023-08-18",315.838958740234
"2023-08-21","2023-08-21",321.22802734375
"2023-08-22","2023-08-22",321.806823730469
"2023-08-23","2023-08-23",326.337646484375
"2023-08-24","2023-08-24",319.321899414062
"2023-08-25","2023-08-25",322.325805664062
"2023-08-28","2023-08-28",323.044342041016
"2023-08-29","2023-08-29",327.744781494141
"2023-08-30","2023-08-30",328.1240234375
"2023-08-31","2023-08-31",327.096130371094
"2023-09-01","2023-09-01",327.994293212891
"2023-09-05","2023-09-05",332.874359130859
"2023-09-06","2023-09-06",332.205749511719
"2023-09-07","2023-09-07",329.241760253906
"2023-09-08","2023-09-08",333.592895507812
"2023-09-11","2023-09-11",337.255493164062
"2023-09-12","2023-09-12",331.097961425781
"2023-09-13","2023-09-13",335.379302978516
"2023-09-14","2023-09-14",338.013946533203
"2023-09-15","2023-09-15",329.551116943359
"2023-09-18","2023-09-18",328.393463134766
"2023-09-19","2023-09-19",327.984283447266
"2023-09-20","2023-09-20",320.120269775391
"2023-09-21","2023-09-21",318.882781982422
"2023-09-22","2023-09-22",316.367889404297
"2023-09-25","2023-09-25",316.896820068359
"2023-09-26","2023-09-26",311.507751464844
"2023-09-27","2023-09-27",312.156433105469
"2023-09-28","2023-09-28",313.004730224609
"2023-09-29","2023-09-29",315.110443115234
"2023-10-02","2023-10-02",321.148162841797
"2023-10-03","2023-10-03",312.755218505859
"2023-10-04","2023-10-04",318.313934326172
"2023-10-05","2023-10-05",318.713104248047
